评论ID,评价内容,情感倾向,评价长度,长度分类
428,订了两间两晚，第一天入住刚打开房门一股难闻的抹布水味道，放了台空气净化器稍微好点。第二天上午离开酒店的时候跟管家说了麻烦两间房打扫下，结果下午四点多回来发现两间房依旧没打扫，然后继续催了两三次依旧没人来打扫……不要说因为假期人手不够这种说辞，所有酒店都是这样啊，服务跟不上就不要找藉口。体验感真是不舒服，下次也不会再来了。,负面,161,中等(101-200字)
429,环境很好，管家小方很贴心,正面,12,极短(≤50字)
430,"实物很精致。
周围环境优异。
很安静，不会影响睡觉。
服务态度良好。",正面,34,极短(≤50字)
431,房间非常安静，私密性很好！,正面,13,极短(≤50字)
432,非常棒的设计酒店  设计内容贴心。服务绝对的五星以上 配送贴心的入住小食及水果。真的比五星级酒店还要好管家式服务。安静。个性。独立 私密。,正面,69,短(51-100字)
433,各方面都很好，强烈推荐,正面,11,极短(≤50字)
434,相当舒适，令我欢喜,正面,9,极短(≤50字)
435,房间很大 环境很好 服务也不错,正面,15,极短(≤50字)
436,酒店非常新，设施齐全，房间很大,正面,15,极短(≤50字)
437,房间装修非常高级考究，设备配置也很好，在乐山多次，个人认为是最好的酒店,正面,35,极短(≤50字)
438,"设施：很好
卫生：很好
环境：很好
服务：很好",正面,23,极短(≤50字)
439,已经是第四次入住了 各方面都很好  因为睡眠不好 所以对酒店的隔音各方面都比较挑剔 但这里给了我家的感觉 很安静 不被打扰 服务很好 需要什么管家服务基本都能满足  前台的小赵和小颖也是很贴心 入住前反复确认了对房间的要求 退房后还关心入住体验  真的很贴心,中性,129,中等(101-200字)
440,很不错的酒店,正面,6,极短(≤50字)
441,非常满意 就是价格约偏高,正面,12,极短(≤50字)
442,酒店设施齐全，卫生很干净，环境很好，酒店管家服务也很好,正面,27,极短(≤50字)
443,非常满意，房间很大很干净很舒服,正面,15,极短(≤50字)
444,安铂酒店服务真的很到位，管家提前联系确认入住时间及人数，提前准备好孩子洗漱用品，欢迎水果和杨枝甘露都很棒，早餐品种不多，胜在品质，现磨咖啡也很可，管家积极协调下午茶时间，全程接待十分热情，退房的时候知道我们去景区，还帮忙准备了足够的水。不管是环境还是服务都令人十分满意，有机会还会选择安铂酒店。,正面,147,中等(101-200字)
445,"装修风格很舒服

卫生：干净整洁

早餐的面条还不错",正面,26,极短(≤50字)
446,我很喜欢酒店的装修风格，很低调奢华，早餐特别好，种类很多，干净美味,正面,33,极短(≤50字)
447,酒店高级，服务好，房间好，环境好，很新很好,正面,21,极短(≤50字)
448,非常不错，服务生和客户经理都非常客气,正面,18,极短(≤50字)
449,很舒心的一次入住体验,中性,10,极短(≤50字)
450,"法国百年奢华品牌安珀，酒店房间各处都是精心设计，随手一拍都是大片。
酒店设计前卫时尚，设施新且智能，汉斯格雅淋浴，Toto智能马桶，科勒浴缸，BOSS音箱，戴森吹风机真的是体验感一流～
工作人员也特别热情有爱❤感谢前台的小方和和小娟
超值的一次体验！！",正面,126,中等(101-200字)
451,酒店设计感强，尽显非凡格调；周边环境还可以；房间很大很舒适，智能马桶很便捷，提升入住体验；服务质量高超，小娟小赵服务周到，细节尽显关怀。,正面,68,短(51-100字)
452,相当不错的硬件及服务，入夜仪式表演很有意思,正面,21,极短(≤50字)
453,很一般。服务态度和贵阳安珀完全没发比。前台工作人员没有一丝笑容。,负面,32,极短(≤50字)
454,这家酒店的管家服务很周到 介绍旅游的一些路线和美食 很不错 卫生也很好 就是窗子关不上 不过也修好了 还有就是智能马桶的水不可以调节温度,正面,68,短(51-100字)
455,房间布局很好，各方面很精致。,正面,14,极短(≤50字)
456,这个酒店还可以,中性,7,极短(≤50字)
457,外地朋友来乐山都给他们订的这家,中性,15,极短(≤50字)
458,环境可以 设施可以 干净 服务也符合价位,正面,20,极短(≤50字)
459,服务周到有管家服务态度很好有耐心且热情,正面,19,极短(≤50字)
460,"安铂酒店的服务真是无可挑剔，完全超出了我的预期，甚至可以说惊艳。从接站、办理入住到最终离店，每一个环节的细节都透着用心，让人倍感妥帖。尤其是小鱼、席林SPA等工作人员，脸上始终挂着真诚的微笑，哪怕是再细微的需求，也会被认真对待，好感度瞬间拉满。更值得一提的是餐饮，无论晚餐还是早餐，不仅品类丰富多样，味道更是鲜美可口。酒店的装修也是独特的，在这里特别表扬宝藏酒店的床垫真的不错，软硬适中，睡一整晚很舒服，在这里住的每一天，都像在自家一样温暖又安心，实在是一次太舒心的体验了，下次还会来，也会推荐给我身边的亲朋好友❤️❤️❤️
展开更多",正面,267,长(201-500字)
461,干净，服务好,正面,6,极短(≤50字)
462,环境安静，床被很舒服，房间层高很高,正面,17,极短(≤50字)
463,很好的酒店，房间空间很大，采光好，明亮，设施齐全，很不错的服务，推荐！,正面,35,极短(≤50字)
464,入住体验超预期！前台办理高效热情，前台小帅和小赵很贴心。客房干净舒适无异味。服务响应极快，需求立即解决。早餐丰富可口，位置便利出行方便。性价比高，强烈推荐！,正面,78,短(51-100字)
465,第一次入住乐山安珀酒店，酒店设施很新，酒店很安静，房间干净卫生特别整洁，管家小方和小帅服务很好，很喜欢。,正面,52,短(51-100字)
466,入住安珀会感觉美好而特别，法式小浪漫融入到房间的细节里，谢谢管家小方、小帅贴心的服务。,正面,43,极短(≤50字)
467,管家服务很好，很暖心。管家小方和小帅也很负责，很满意的一次旅行！,正面,32,极短(≤50字)
468,"从进门开始就有那位司机师傅引导我们进去，服务态度真的非常好，他全程帮助了我们拿行李，带我们到大堂。入住后酒店真的非常舒适也很干净，有私人管家帮助我们，欢迎水果也不错，很喜欢那里的矿泉水，包装很特别，我很喜欢。后续点的外卖私人管家都会帮助我们送上来，那个戴眼镜的小哥哥服务态度也很好，酒店所有的员工的服务意识也是好的，由于前一天晚上太晚离开健身房没有找到大门，后续管家和经理也马上解决了这个问题，不过还是希望瑜伽垫可以擦一下，健身房可以有个垃圾桶，也可能是我没看到。早餐的种类还是丰富的，咖啡很好看也好喝，糕点很好吃，但是那个树莓的品质可能还需要把控一下。最后酒店有非常贴心的接送机服务，还是要夸一下这个安排，从前台到司机都很贴心，车的品质也很高，那位司机师傅全程开车很稳，态度非常好，还很贴心的把我们送到高铁站门口，这么热的天也是辛苦了。住过很多很好的酒店，这次的安珀确实给我留下了深刻的印象，下次来不来乐山不知道，但是一定还会再入住安珀酒店的。
展开更多",正面,428,长(201-500字)
469,非常满意，服务很好，还给孩子礼物，孩子很喜欢。,正面,23,极短(≤50字)
470,环境不错，酒店比较新,正面,10,极短(≤50字)
471,"超乎意料的好！
环境很舒服，每个地方都有用心哈，很有质感。",正面,29,极短(≤50字)
472,以前都是当天来回乐山，终于有想住的酒店了。住的房间没有新装修的味道了，仍然配有空气净化器的。设施和服务都很好。工作人员都很热情，还配有管家。下次来乐山还会住！,正面,79,短(51-100字)
473,个人觉得还是可以，早餐行,中性,12,极短(≤50字)
474,酒店很有设计感，前台微笑服务，办理入住非常迅速，管家小方小雷服务态度也很好，而且停车方便，很值得来体验,正面,51,短(51-100字)
475,服务贴心，早餐品种虽不多但味道品质好，推荐入住,正面,23,极短(≤50字)
476,在安珀感受到了艺术氛围与浪漫气息，管家小代，小帅和前台小黄的服务非常好，这一趟在乐山吃得好玩得开心住得舒心。,中性,54,短(51-100字)
477,干净整洁，应该是目前乐山最舒适的酒店了,正面,19,极短(≤50字)
478,房间很新，设施也很好，小帅的服务也很好,正面,19,极短(≤50字)
479,管家小代态度很好，及时补充了欢迎水果，前台小郭解答疑问很细心，但遗憾未能延时退房，春节大假理解吧,负面,48,极短(≤50字)
480,"我们定的大床房有一个超大的科勒浴缸，两个小朋友开心疯了. 酒店整体的服务，硬件，停车，充电桩都非常好👍有五种枕头供选择，我尝试了薰衣草枕头还不错.早餐有特色蛋烘糕，服务员会把餐车推到桌旁服务，味道很赞！
谢谢管家Shirely！",正面,114,中等(101-200字)
481,房间大，干净卫生！,正面,9,极短(≤50字)
482,环境各方面品质都还是不错的。服务也还是可以,正面,21,极短(≤50字)
483,入住体验非常好，服务人性化，每个岗位的工作人员都热情细心。酒店艺术氛围很好，高级感，人也放松。特别值得一提的是早餐，丰富又精致，几款乐山特别小吃不输当地门店。下次来乐山还会入住。推荐推荐！,正面,94,短(51-100字)
484,这次入住安珀酒店很开心，酒店位置属于新区，有地下停车场，停车很方便，前台办理专业，管家小方和小徐热情，服务态度极佳～房间舒适温馨，住的很开心，必须五星好评。,正面,78,短(51-100字)
485,设备、卫生、环境、服务都很满意。,正面,16,极短(≤50字)
486,酒店很新很不错,正面,7,极短(≤50字)
487,很满意的一次入住体验，前台小方小颖服务很热情，退房的时候还主动帮忙搬行李，很体贴，酒店进出也很方便，非常满意 必须5星,正面,59,短(51-100字)
488,很棒，早餐好吃,正面,7,极短(≤50字)
489,房间卫生不错，服务人员热情周到,正面,15,极短(≤50字)
490,此次入住最满意的是管家的服务，入住亲自送到房间，还给我们贴心的推荐了攻略。有需要也是第一时间可以找到管家，响应很快，服务及时到位。,正面,65,短(51-100字)
491,非常好，非常好,正面,7,极短(≤50字)
492,酒店装修风格不错，服务在线,正面,13,极短(≤50字)
493,"酒店环境和服务都很好，早餐特别赞
点名表扬前台小赵和小娟👍",正面,29,极短(≤50字)
494,挺好的，环境服务都不错，去哪也方便,正面,17,极短(≤50字)
495,酒店幽静舒适温馨，装修风格时尚典雅，餐厅就餐环境优美，早餐的品种很多，中西结合，食物既风格又好吃！下午茶的点心也不错！👍👍👍～～,正面,64,短(51-100字)
496,好停车，早餐很棒，出品和服务都很在线。,正面,19,极短(≤50字)
497,早餐不错，就是人多，过节能理解！ 房间中规中矩吧，管家服务节约很多时间，这点点赞,正面,40,极短(≤50字)
498,房间很好环境也很好。最重要管家小徐和小方服务很好热情。,正面,27,极短(≤50字)
499,新酒店，周边有大工地,正面,10,极短(≤50字)
500,房间很干净，整洁，整个设计很年轻化，很有特色的五星级酒店,正面,28,极短(≤50字)
501,今天入住的乐山安珀酒店，体验感直接拉满！[玫瑰][玫瑰][玫瑰]一进房间，温馨舒适的氛围扑面而来，柔软的大床。前台的服务人员小鱼，小杨特别热情周到，同时小鑫在我们办理入住时的耐心讲解，到入住期间有求必应，让人感觉宾至如归。[太阳][太阳]酒店的中餐更是一绝，菜品丰富多样，一应俱全。无论是精致的凉菜，还是热气腾腾的招牌硬菜，每一道都色香味俱全，满足了我的味蕾。[色][色][色]这次入住真的太满意了，以后有机会还会再来，也会推荐给身边的朋友！[强][强][强],正面,230,长(201-500字)
502,住宿体验非常好,正面,7,极短(≤50字)
503,设施新，服务好,正面,7,极短(≤50字)
504,非常好👍服务热情，硬件设施一流，早餐丰富，美中不足就是酒店周边有工地，,正面,35,极短(≤50字)
505,超级满意，特别的棒，前台，管家，服务都超级贴心,正面,23,极短(≤50字)
506,"服务：专业有效

环境：典雅安静",正面,16,极短(≤50字)
507,详情请参考另一间房的评价。总之非常好。,正面,19,极短(≤50字)
508,已经是第二次入住了，酒店装修很有风格，环境优雅，早餐丰富，有小朋友喜欢蛋烘糕，也有乐山特色蹺脚牛肉和甜皮鸭，管家小雷和小帅服务也是一级棒，入住前一天就电话了解入住时间和要求，安排了欢迎水果和晚安礼遇，小朋友非常喜欢。下次还会入住。,正面,115,中等(101-200字)
509,什么都好，就是4楼大堂早餐和第一次去相比感受没那么好了，之前是点餐，很方便，这次变成自助餐，其实客人也没几桌，服务有些变化。另外厨房油烟太大了，吃完早餐一身油味，太不合适了。,正面,87,短(51-100字)
510,设施非常好，管家服务很贴心，是乐山游玩的首选之地！,正面,25,极短(≤50字)
511,酒店服务更好，早餐很丰富，有单点菜单,正面,18,极短(≤50字)
512,这个价位跟这个城市一点也不相符,中性,15,极短(≤50字)
513,酒店设施完备，服务水准高，值得入住,中性,17,极短(≤50字)
514,房间干净整洁，装修精致，满满的高级感，床上用品舒适助眠，服务更是六星级，让人深刻感受到了宾至如归的感觉,正面,51,短(51-100字)
515,酒店周边吃的比较多，很多美食，价格实在；房间很好，特别舒服，干净；前台小赵和小方服务很好！我们三个房间都觉得不错，住的舒心，晚上走的匆忙车门没关好，也是立马联系我们，非常棒哈！,正面,88,短(51-100字)
516,房间很大 管家小帅小方服务周到,中性,15,极短(≤50字)
517,"设施：所有用品品质都很高，洗漱用品的挑选都很用心，所有细节都很贴心
环境：一步一景，各种美画各种绿植在各个意想得到意想不到的地方出现
服务：所有服务人员都很亲切，给管家小帅点个赞，服务很贴心
娃已经说了，下次还来住～",正面,108,中等(101-200字)
518,不错 热门推荐,正面,7,极短(≤50字)
519,酒店非常漂亮，层高够，舒适，下午茶也很丰盛，管家小方服务到位，全部好评,正面,35,极短(≤50字)
520,各方面都非常满意，服务特别好！,正面,15,极短(≤50字)
521,"设施：电动马桶，戴森吹风机
私享管家服务:介绍设施，附近美食",中性,30,极短(≤50字)
522,服务很好、环境也不错，小朋友很喜欢，有机会还会选择这里,正面,27,极短(≤50字)
523,酒店位置出行还是很方便，离万达也很近，走路过去就可以。,正面,27,极短(≤50字)
524,可以还给布置了一下 管家小周 前台小颖都不错！,中性,23,极短(≤50字)
525,酒店整体装修、服务都很不错，是现下流行的轻奢风格，在酒店点了一次送餐服务，菜品和口感确实惊艳到我了，早餐的品种虽然不是很多，但是从营养上来说已经很全面了，床品能再提高一些，那么乐山吸引我的就不仅仅是美食了,正面,102,中等(101-200字)
526,乐山高端星级酒店,中性,8,极短(≤50字)
527,酒店设计的很好，整体法式风格，有专门的停车场，停车很方便；房间宽敞舒适，干湿分离，采用的是智能马桶，戴森吹风机，设备齐全，不管是硬件还是软件都非常好，尤其是前台的小方和小郭，办理入住迅速，介绍产品，服务贴心细心，以后有机会来乐山还会继续选择。,正面,121,中等(101-200字)
528,法式风格，小资情调，酒店很新，挺不错的,正面,19,极短(≤50字)
529,怎么一个好字了得！,正面,9,极短(≤50字)
530,非常不错哦,正面,5,极短(≤50字)
531,还不错，服务挺好的,正面,9,极短(≤50字)
532,价位与服务确实可以，冰箱的小零食和欢迎水果都不错，还会送的下午茶蛋糕，房间可以配上智能客控就更好了，私人管家比较贴心，24小时服务。建议在洗手台下面放个垃圾桶，这样扔东西方便点。,正面,89,短(51-100字)
533,酒店非常不错，硬件配置也很棒！小方和小帅两位管家服务很好，很热情，小方还贴心送上温热的矿泉水和伴手礼，下次还会再来。,正面,58,短(51-100字)
534,管家小袁小祝很好很贴心，酒店停车很方便，办理入住也很快，环境很好，乐山住房首选很满意，下次还会选择。,正面,50,短(51-100字)
535,酒店设施和服务都还不错，值得再一次入住！,正面,20,极短(≤50字)
536,酒店很有设计感，服务也很周到细心。尤其管家小帅回复很及时，十分推荐,正面,33,极短(≤50字)
537,这家酒店从设计到酒店的用具都别具一格，很有品位，服务也很到位，是我住过最好的酒店之一，推荐入住,正面,47,极短(≤50字)
538,房间相当不错，一切都很完美。小税，小帅和前台小雨服务杠杠的,正面,29,极短(≤50字)
539,2023年4月新开张酒店🏨，位置离市中心（乐山大佛）大概10公里，酒店入住办理在四层 ，没有大堂。管家的服务比较贴心，其他还好吧。,正面,65,短(51-100字)
540,很不错的酒店 很好的服务 很赞的早餐,正面,18,极短(≤50字)
541,新酒店，服务接待态度没得说，入住当晚因中央空调问题换了房间，酒店也非常妥善进行了处理，每天都睡到自然醒，酒店还贴心打包了早餐，非常好。,正面,67,短(51-100字)
542,还可以，中规中矩。,中性,9,极短(≤50字)
543,酒店设施很新，卫生间非常大，服务也很不错,正面,20,极短(≤50字)
544,非常不错！服务管家小方非常不错！,中性,16,极短(≤50字)
545,非常满意的一次住宿。,正面,10,极短(≤50字)
546,乐山大佛巍巍壮观，酒店有接站服务,中性,16,极短(≤50字)
547,"欢迎水果:有我最爱的车厘子
私享管家服务: 非常负责任 送我们到门口
 迷你吧:丰富的品质 软饮丰富又有当地特色
还有银耳羹可以喝哦 早餐也很丰富！",正面,74,短(51-100字)
548,"是朋友家人去乐山一定会推荐的酒店！
酒店装潢很有设计感，房间干净整洁，给人很舒服的感觉。
特别要说的是酒店的服务！酒店的工作人员很贴心很周到。早上没用早餐会送简餐到房间里，下午也有点心送过来。每天出去玩会主动询问我们需不需要为我们推荐餐厅和游玩的地方，还会贴心的帮我们准备好矿泉水。
细节之处比很多五星酒店都做得好！
是一次很开心很舒服的住店体验！
下次来乐山一定会再来！
展开更多",正面,191,中等(101-200字)
549,乐山最好的酒店，设施很好，管家小帅小方的服务也非常的好,中性,27,极短(≤50字)
550,卫生：非常干净，所处位置方便，安静舒适。服务很好👍,正面,25,极短(≤50字)
551,非常好，服务很棒,正面,8,极短(≤50字)
552,非常好，超出预期,正面,8,极短(≤50字)
553,这家酒店的品质不错，地理位置也挺好，旁边有万达广场，管家小帅和小方服务很好，贴心的准备了水果，甜品，饮料，还留贴心小纸条，总体服务家人都比较满意，早餐也不错，下次来乐山还选择安珀。,正面,90,短(51-100字)
554,房间比照片上看起好很多，很惊喜。公区设计很精彩，非常喜欢。服务很到位，非常好，以后来乐山都会来这。,正面,49,极短(≤50字)
555,这应该是乐山最好的酒店了吧？！对于一个小城市来说，能这么注意细节品味的酒店真不多，性价比不错，希望老板和团队能继续保持哈……,正面,62,短(51-100字)
556,因为是五一，到处人满为患，所以其实对酒店没有多大期待。来了后，给了我们全家很大的惊喜。酒店很有设计感，灯光小绿植氛围很足。房间设施不错，汉斯格雅戴森……前台反应很迅速，有需求基本5-10分钟能送到，酒店早餐，很有地方特色，食材用料很足。每天有水果退房有伴手礼。订房后就有管家联系，管家小帅小代，经理小黄，都很热情，有问必答，必解决。总之就是，我们有一种物超所值的感觉，这在节假日的出游体验感中是几乎没有的。希望能一如既往坚持下去。,正面,215,长(201-500字)
557,很感谢找到这么好的酒店，好喜欢😍，它的设计风格，还有酒店装修。酒店的服务都很好、超出我的预期。已经来入住过很多次了，服务还是一如既往的很棒，每次来都很开心，小帅和小方两位管家也是超级nice，前台办理入住也很迅速，全程微笑服务，来乐山还会继续选择安珀，非常喜欢的一个宝藏酒店，超赞👍🏻,正面,142,中等(101-200字)
558,体验感不错，离万达很近周边吃美食也方便，房间专门有化妆镜 还有免费的饮品 很贴心 前台服务也很好 尤其是小鱼 很有耐心 帮忙解决问题 下次还会来的,正面,73,短(51-100字)
559,酒店入住感不错，设施设备也很齐全，酒店旁边就是万达购物商城，工作人员个个都很热情，前台小颖和管家小方服务贴心，用心；酒店L层也有小朋友的娱乐区域，非常不错，晚上还会放电影；总之，酒店的各项设施和服务都是一级棒。,正面,105,中等(101-200字)
560,"超级惊喜的酒店，无论是提前关心入住偏好的管家小院袁和小钱，还是入住时超级温柔的前台小帅都给予客人周到的服务。
酒店赠送的下午茶自助十分适合拍照，还能品尝到乐山的冰粉和钵钵鸡～
酒店还赠送了入住贺卡和欢迎水果以及甜品～

当然酒店的装修风格极具法式风情，很有特色～

酒店早餐还能品尝到特色蛋烘糕和跷脚牛肉，特色十足！
展开更多",正面,163,中等(101-200字)
561,非常好，非常值得,正面,8,极短(≤50字)
562,我觉得挺好的，不错。继续加油。。。。。。。。。。。。。。。。，。。。！！！！！！！！！！！！！！！！！，，，，，。。。。。。。。,正面,64,短(51-100字)
563,"小朋友非常喜欢
下次还会考虑入住。",负面,17,极短(≤50字)
564,"超级美的酒店，床品舒适，早餐也不错。
管家家小代、小税和前台小郭都很贴心，从入住到离店体验感都超好",正面,49,极短(≤50字)
565,前台小娟和管家小赵服务热情周到，态度亲切专业，从入住到离店全程体验流畅舒心。小娟高效办理手续并细心解答需求，小赵主动提供个性化服务，细节满分。酒店环境整洁优雅，设施维护良好，氛围温馨宁静，性价比突出。整体服务与环境俱佳，强烈推荐，下次入住首选,正面,121,中等(101-200字)
566,管家小帅和小方很贴心专业，整体入住非常舒服，去哪也都方便。,正面,29,极短(≤50字)
567,卫生整洁 出行方便 连外卖也送的及时,正面,18,极短(≤50字)
568,酒店早餐很棒，房间设施也很新，很干净，周围万达旁边有几家好吃的店，适合不去老城区排队，想舒舒服服住一下酒店的人。,正面,56,短(51-100字)
569,酒店很新，管家小方服务很好。,正面,14,极短(≤50字)
570,酒店是刚开业的很新，走廊有新家具的味道；有管家服务；欢迎点心拿破仑很好吃不腻不甜，早餐也很好吃😋，只是现在对面有工地如果想睡懒觉会有一点吵，是我下一次出游也会考虑的酒店。,正面,85,短(51-100字)
571,卫生、服务、设施都没话说，假期到乐山旅游，发现这家宝藏酒店，非常奈斯！以后去其他城市有这家酒店的地方绝对会首选！,中性,56,短(51-100字)
572,第二次住安珀酒店 是我在乐山最喜欢的酒店 温馨干净的法式风格 热情周到的服务人员 非常感谢管家小方的贴心照料 🌹🌹,正面,57,短(51-100字)
573,房间很大，设施很智能也很新，早餐也很丰盛，前台还帮忙免费升级了房间，只是新装修好还有一点味道。,正面,47,极短(≤50字)
574,酒店整体感觉很好，小清新风格，可可爱爱，女生喜欢的类型，色调配色都好看，小帅和小娟服务不错，住的很舒服，酒店插的都是鲜花 ，紧邻万达广场步行5分钟。,正面,74,短(51-100字)
575,房间很有格调，处处透着用心，好评,正面,16,极短(≤50字)
576,体验感极佳，管家小郭服务热情！,中性,15,极短(≤50字)
577,隔音太差了,负面,5,极短(≤50字)
578,第二次入住酒店了，酒店用了我的建议，酒店房间有了瓶装水，相比去年入住，酒店内部公共区域的设计有些调整，但依旧是很好的，很有设计感。这次来还新开了SPA和酒吧，这次没有去体验，下次有时间一定去体验一下。前台小赵和管家小郭服务很好，很细心，有需要给管家发微信都很及时的回复，很不错的酒店，推荐入住。,正面,147,中等(101-200字)
579,非常好。新开的，硬件比很多成都的酒店都要好，内部装修非常典雅。服务也很好，办理入住很快。晚上夜床服务还有银耳羹和水果。下次去还会住。。,正面,67,短(51-100字)
580,下午茶:很好吃,正面,7,极短(≤50字)
581,管家尹小芳服务态度相当好,中性,12,极短(≤50字)
582,"设施：齐全崭新
卫生：非常干净
环境：地段很好离商城也很近
服务：超级棒 司机小祝冒着雨接站值得点赞 管家小雪小方服务周到态度诚恳
茉.Cafe西餐厅法式双人下午茶:特色点心",正面,87,短(51-100字)
583,房间有些小细节需要修改,负面,11,极短(≤50字)
584,房间法式轻奢格调满满，早餐融合当地特色小吃很不错，下次还会光顾,中性,31,极短(≤50字)
585,"设施：很新，挺多小设计
卫生： 挺干净整洁
环境： 很安静
服务： 服务很周到，特别是前台小赵小郭准备了美食地图，介绍的特色美食也很好吃",正面,68,短(51-100字)
586,酒店很不错，装修很新，服务也很好。小代小帅和前台小赵都很热情,正面,30,极短(≤50字)
587,服务非常好，管家、前台、早餐服务都很热情友好，点赞👍,正面,26,极短(≤50字)
588,完全长在我审美的酒店，管家mark服务很贴心，必须点赞赞👍,正面,29,极短(≤50字)
589,设计感十足，整体风格喜欢。,中性,13,极短(≤50字)
590,"房间干净整洁
服务：服务很好",正面,14,极短(≤50字)
591,这次入住体验超棒！前台服务特别热情，小娟小赵办理入住高效又耐心，还主动告知酒吧饮品券的使用规则，让人刚到就倍感亲切。早餐是中西结合的，中式粥品、点心和西式面包、咖啡都很齐全，食材新鲜、口味在线，吃得特别满足。房间风格很对味，不管是简约清爽还是带点质感的设计，都让人觉得舒适放松！已经推荐给朋友了,正面,147,中等(101-200字)
592,服务态度好,正面,5,极短(≤50字)
593,管家小袁，小尹，小祝都特别好！期待下次再来,中性,21,极短(≤50字)
594,环境和服务都很不错,正面,9,极短(≤50字)
595,整体设计特别棒，管家小帅小祝和经理小王的服务也特别好。会介绍身边亲友入住。,正面,37,极短(≤50字)
596,乐山挺不错的一家酒店，风格设计的还不错，服务人员都非常好，很热情；卫生干净整洁，房间面积也挺大的，智能马桶很不错，热带雨林和花洒还能同时出水，还有防烫伤调节温度功能，尽显细节，在乐山这个旅游城市来说已经很不错了，距离美食街也不算远；办理入住的小郭快速效率高，退房的时候小方和小杨还送了乐山的特产米花糖，很热情。,正面,155,中等(101-200字)
597,前台小方 小郭很热情，服务态度很好，非常满意，房间漂亮，酒店环境不错，住的非常舒适，巴适。,正面,45,极短(≤50字)
598,一级棒，没话说,正面,7,极短(≤50字)
599,还行吧，没什么特别的,中性,10,极短(≤50字)
600,新酒店服务和环境都不错,正面,11,极短(≤50字)
601,管家小帅服务周到贴心 房间干净,正面,15,极短(≤50字)
602,酒店相当不错，管家服务也很好，酒店中餐厅味道很也好，家人住了几天各方面都很满意。下次有机会我也去住住。,正面,51,短(51-100字)
603,因为新开的酒店所以订的，入住前有管家联系安排，入住后楼下礼宾小哥非常热情，房间宽敞物品精致，早餐品种多也好吃！,正面,55,短(51-100字)
604,非常满意，服务很好,正面,9,极短(≤50字)
605,房间很不错 管家小方小帅服务很热情 前台服务也很好办理入住很迅速 面带微笑 不错哦 下次还会来的,正面,48,极短(≤50字)
606,房间干净舒适，早餐￼精致味道很不错，前台小姐姐们礼貌热情，特别是管家小芳的服务很贴心，超赞！￼,正面,47,极短(≤50字)
607,"在网上预订的房间，入住前会有私人管家提前联系询问入住喜好，根据客人的喜好来安排房间，还是很贴心的。管家小郭了解到有带小朋友提前在房间放了儿童洗漱用品和拖鞋，问能不能给房间房儿童玩具，管家也是去沟通协调给房间放了儿童的玩具。到了酒店前台小娟办理入住也是很迅速专业，态度热情。整个入住都是很满意的，推荐。酒店新开了SPA,和酒吧，有兴趣的朋友可以来体验，推荐",正面,177,中等(101-200字)
608,超级满意 服务 设施 卫生 早餐 沐浴备品 小冰箱的饮品 还有晚安甜品 赞 下次去乐山还会选择,正面,47,极短(≤50字)
609,酒店房间比较大，房间格局很好，装修和设施都很精致，早餐非常好吃，特别是管家等服务人员都很热情周到，还给小朋友送了早餐，百万奔驰免费送高铁站服务，感谢服务管家小帅和司机小祝。,正面,86,短(51-100字)
610,服务细致周到,正面,6,极短(≤50字)
611,好好好好好好,正面,6,极短(≤50字)
612,"周末两天和女朋友来乐山游玩，也是在网上看到这家酒店还不错，听说是一个法国的轻奢品牌，于是抱着试试的态度订了房，没想到完全超出了我的预期，我刚下完订单不久酒店管家就给我打来了电话确认房间喜好并询问我的到店时间，到了酒店前台Cici给我办了入住耐心的给我讲解酒店的用餐地点，管家Lip送我们到房间也给我们仔细的介绍了房间。甚至房间已经放了我名字的欢迎卡片和新鲜的🍇，光这服务就已经超越了某些国际连锁酒店。极力推荐大家来乐山选择安珀酒店。对了入住期间遇到酒店前厅经理Jason. 也主动询问我们的入住感受，刚好他也是重庆的，相聊甚欢。酒店硬件也相当有质感！
展开更多",正面,280,长(201-500字)
613,老婆孩子非常满意，乐山最好，没有之一,正面,18,极短(≤50字)
614,"推荐乐山宝藏酒店安珀酒店，酒店环境无论软件还是硬件方面都非常棒，房间设计极简，色调搭配让人感受格外温馨舒适。
酒店中餐和西餐厅的菜品也非常有水准，入住的第二天正值万圣节，晚上用餐期间还有幸认识酒店的两位主厨，非常开心。
入住之后会有管家一对一服务，在此感谢管家小帅在我们住期间提供的专业和贴心的服务。",正面,150,中等(101-200字)
615,房间干净 小汇小钱小王服务热情专业,正面,17,极短(≤50字)
616,环境很好，对接的管家小帅小王和前台小钱服务都很好，酒店整体非常不错，可以说是零差评，给乐山之行锦上添花。,中性,52,短(51-100字)
617,服务很好 房间很大,正面,9,极短(≤50字)
618,酒店一楼大堂的空间格局虽不算宽敞，但设计感十足，并不会让人觉得局促。前台小娟看到我们时，立刻微笑着上前打招呼，办理入住的过程更是迅速快捷，一点不拖沓。期间有需求联系管家小郭，她的回应也特别及时。这次入住真的很感谢工作人员们的热情付出，非常推荐大家入住乐山这家酒店,正面,131,中等(101-200字)
619,服务意识特别强，非常好,正面,11,极短(≤50字)
620,"入住的前一天管家就已经提前联系了我，还预留了吸烟房，管家小雷从入住前到入住后一直服务的非常到位，这次在乐山安珀的体验非常好。
酒店的各个小细节布置的很用心，同行的朋友一家也很满意。",正面,90,短(51-100字)
